kernel,spacetime,array_part,latency,simd,path
ttmc,4,"64,64,64,64","4,8,8","4,4","autosa_hls_refs/ttmc/st4_ap64,64,64,64_lat4,8,8_simd4,4/ttmc_st4_ap64,64,64,64_lat4,8,8_simd4,4_kernel_kernel.cpp"
ttmc,4,"128,128,128,128","8,16,16","8,8","autosa_hls_refs/ttmc/st4_ap128,128,128,128_lat8,16,16_simd8,8/ttmc_st4_ap128,128,128,128_lat8,16,16_simd8,8_kernel_kernel.cpp"
ttmc,5,"16,16,16,16","1,2,2","1,1","autosa_hls_refs/ttmc/st5_ap16,16,16,16_lat1,2,2_simd1,1/ttmc_st5_ap16,16,16,16_lat1,2,2_simd1,1_kernel_kernel.cpp"
ttmc,5,"32,32,32,32","2,4,4","2,2","autosa_hls_refs/ttmc/st5_ap32,32,32,32_lat2,4,4_simd2,2/ttmc_st5_ap32,32,32,32_lat2,4,4_simd2,2_kernel_kernel.cpp"
ttmc,5,"64,64,64,64","4,8,8","4,4","autosa_hls_refs/ttmc/st5_ap64,64,64,64_lat4,8,8_simd4,4/ttmc_st5_ap64,64,64,64_lat4,8,8_simd4,4_kernel_kernel.cpp"
ttmc,5,"128,128,128,128","8,16,16","8,8","autosa_hls_refs/ttmc/st5_ap128,128,128,128_lat8,16,16_simd8,8/ttmc_st5_ap128,128,128,128_lat8,16,16_simd8,8_kernel_kernel.cpp"
ttmc,6,"32,32,32,32","2,4,4","2,2","autosa_hls_refs/ttmc/st6_ap32,32,32,32_lat2,4,4_simd2,2/ttmc_st6_ap32,32,32,32_lat2,4,4_simd2,2_kernel_kernel.cpp"
ttmc,6,"64,64,64,64","4,8,8","4,4","autosa_hls_refs/ttmc/st6_ap64,64,64,64_lat4,8,8_simd4,4/ttmc_st6_ap64,64,64,64_lat4,8,8_simd4,4_kernel_kernel.cpp"
ttmc,7,"32,32,32,32","2,4,4","2,2","autosa_hls_refs/ttmc/st7_ap32,32,32,32_lat2,4,4_simd2,2/ttmc_st7_ap32,32,32,32_lat2,4,4_simd2,2_kernel_kernel.cpp"
ttmc,7,"64,64,64,64","4,8,8","4,4","autosa_hls_refs/ttmc/st7_ap64,64,64,64_lat4,8,8_simd4,4/ttmc_st7_ap64,64,64,64_lat4,8,8_simd4,4_kernel_kernel.cpp"
